AACPDM;formato;cor_casca;cor_polpa;NF;PT;Comp;Diam;ind_form;PF;PPB;RP;EC;BRIX
780;3;2;3;17;1219.39;63.57;57.54;1.11;75.28;25.02;33.65;6.56;15.43
825;5;3;3;5;339.88;70.38;55.4;1.29;67.98;21.3;31.16;9.92;17.04
832.5;1;3;3;30;1922.26;65.59;55.09;1.27;73.12;26.16;34.43;7.59;16.23
787.5;5;2;4;5;357.18;70.42;54.87;1.29;71.44;26.67;35.62;6.51;16.96
1005;7;2;1;4;359.42;67.53;56.85;1.19;89.86;35.31;39.31;9.83;15.85
787.5;7;2;1;1;31.82;67.59;46.71;1.45;31.82;5.75;18.07;5.91;14.4
1087.5;1;3;3;2;123.37;63.81;49.62;1.29;61.69;21.54;34.96;6.74;13.15
757.5;5;3;3;33;4131.09;85.41;68.46;1.25;157.23;73.06;45.77;8.4;15.2
750;5;3;3;3;120.2;59.23;47.82;1.24;40.07;9.45;23.58;5.97;8
870;5;3;3;1;69.04;75.54;59.42;1.09;69.04;21.11;30.58;7.21;15.2
780;1;2;2;33;2044.07;69.83;58.52;1.19;81.12;33.45;40.46;8.73;16.87
907.5;5;3;3;4;485.05;88.95;68.51;1.3;121.26;26.86;21.28;10.41;10.75
735;5;1;3;3;225.34;67.36;55.74;1.21;75.11;33.96;44.63;8.38;14.5
742.5;1;3;3;18;1944.19;69.9;63.07;1.11;108.01;30.04;27.41;9.07;14.73
750;2;2;3;12;679.73;70.33;48.88;1.44;56.64;11.66;19.1;7.31;14.28
855;5;3;3;14;1129.57;78.52;61.77;1.28;80.68;13;15.32;14.06;15.03
750;1;3;3;18;1476.77;70.15;59.74;1.18;83.4;31.33;36.55;6.49;13.99
870;3;2;3;6;491.46;72.57;64.03;1.15;81.91;29.65;35.99;5.96;10.43
761.25;3;2;3;2;96.87;57.88;53.57;1.08;48.44;16.72;34.6;7.85;13
896.25;3;3;3;1;59.54;62.98;57.72;1.09;59.54;14.53;24.4;9.54;15.4
1042.5;3;3;3;4;474.5;74.63;68.99;1.1;118.63;47.2;39.43;7.42;12.98
757.5;1;3;3;13;1139.01;82.04;63.68;1.25;87.62;28.58;31.03;10;14.45
742.5;5;3;3;16;1389.66;70.5;54.88;1.28;86.85;23.78;35.36;7.13;15.51
795;7;3;3;1;66.78;67.43;53.3;1.32;66.78;36.15;54.13;7.65;17.8
750;7;3;3;2;122.26;63.42;55.25;1.29;61.13;18.33;30.44;7.37;12.45
802.5;1;3;3;5;376.24;67.5;58.48;1.29;75.31;21.26;26.53;6.12;19.37
825;1;3;3;32;2668.82;72.16;63.54;1.27;103.05;40.75;37.67;8.51;16.81
742.5;1;3;3;21;988.68;59.89;51.96;1.15;48.67;16.98;34.4;7.18;13.22
817.5;1;3;3;17;1002.74;64.49;53.83;1.16;59.91;23.17;38.05;6.46;13.06
817.5;4;2;2;27;1691.77;67.17;54.99;1.15;71.13;34.76;48.12;4.57;12.66
802.5;1;2;3;37;2827.8;67.98;59.17;1.16;87.19;39.56;44.53;6.08;13.9
780;1;2;3;7;487.41;70.43;55.98;1.2;69.63;28.72;37.96;5.32;14.96
832.5;5;2;3;15;1410.78;76.59;62.82;1.23;94.05;36.93;36.91;8.06;18.73
735;1;3;4;6;421.91;67.45;54.4;1.15;70.32;22.75;30.53;8.08;13.43
735;1;3;3;2;117.26;62.43;52.37;1.26;58.63;18.62;31.85;7.47;8.05
735;3;3;3;4;239.96;69.1;57.79;1.23;59.99;22.27;39.64;9.01;13.73
780;1;2;3;11;1226.53;75.95;61.33;1.25;111.5;28.49;28.4;9.84;13.54
810;1;3;3;43;3167.4;71.93;56.26;1.19;92.95;40.11;41.59;8.27;16.87
802.5;1;3;3;19;927.21;64.22;48.6;1.2;49.04;19.48;41.61;6.72;13.47
862.5;5;3;3;6;498.31;70.1;58.84;1.19;83.05;29.37;34.35;8.09;13.23
866.25;1;3;3;1;23.22;30.99;16.46;1.88;23.22;10.26;44.19;7.86;11.6
956.25;4;3;3;6;405.4;57.6;54.39;1.06;67.57;30.38;44.87;5.94;12.87
727.5;7;2;3;1;86.53;77.71;59.1;1.31;86.53;28.24;32.64;11.49;11.6
1005;5;3;3;2;98.71;77.4;63.97;1.21;49.36;12.85;26.11;7.66;13
862.5;1;2;3;3;207.16;66.28;53.37;1.24;69.05;31.45;45.06;6.44;16.4
772.5;1;3;3;5;277.63;61.98;50.16;1.24;55.53;23.75;41.1;6.93;10
877.5;6;3;3;21;834.83;77.51;52.68;1.48;41.11;9.45;20.03;5.53;13.59
765;5;3;3;5;407.27;79.46;60.36;1.32;81.45;28.82;33.53;5.87;12.44
780;5;3;3;31;2559.39;75.75;62.49;1.22;91.22;41.35;44.58;6.49;14.2
885;3;3;5;17;1435.18;66.38;60.5;1.1;87.31;32.23;36.38;8.78;14.42
862.5;5;3;3;5;366.27;65.53;56.31;1.16;73.25;33.54;43.36;6.34;13.48
832.5;1;3;3;11;872.86;58.3;60.17;0.97;79.35;24.24;28.57;10.33;14.81
832.5;1;3;3;1;52.27;65.85;59.05;1.12;52.27;19.21;36.75;9.65;15.9
922.5;1;3;3;6;518.91;74.55;55.92;1.34;86.5;38.57;42.39;6.72;16.08
787.5;5;3;3;8;296.44;63.68;51.2;1.25;37.06;12.02;32.5;7.14;15.81
888.75;5;3;3;7;642.26;72.61;59.94;1.22;91.75;44.33;48.39;5.77;12.47
1166.25;6;3;3;5;398.66;74.89;64.89;1.35;79.73;32.32;39.95;5.82;11.44
817.5;1;3;3;13;713.24;63.95;53.47;1.11;54.86;18.12;30.73;7.64;14.28
742.5;3;3;2;51;6552.46;89.68;70.88;1.12;153.41;56.22;35.86;8.09;15.55
787.5;4;3;3;14;1168.32;69.92;62.46;0.99;84.9;29.75;34.93;8.59;14.32
772.5;5;3;3;7;775.04;81.43;70.34;1.2;96.43;18.24;17.82;12.26;12.7
832.5;5;3;3;1;33.33;62.13;50.09;1.16;33.33;2.6;7.8;9.65;13.6
802.5;1;3;3;5;457.83;72.15;65.45;1.2;91.57;33.36;34.95;10.36;15.84
742.5;5;3;3;8;610.03;79.36;58.97;1.27;76.25;24.96;31.97;7.73;15.33
735;3;1;5;44;4049.44;75.86;68.68;1.12;94.66;26.58;27.64;10.31;16.69
780;1;3;3;3;268.8;72.49;64.98;1.16;89.6;30.56;33.67;9.29;15.07
900;1;3;3;1;120.75;77.1;77.7;1.24;120.75;47.1;39.01;11.51;13.6
907.5;3;3;3;1;71.33;67.23;56.23;1.11;71.33;34.84;48.84;7.33;13.1
765;3;3;3;5;374.44;77.58;55.01;1.1;74.89;33.26;43.41;5.46;11.58
795;1;3;3;12;818.01;76.41;56.93;1.15;68.17;33.67;48.82;5.63;11.75
757.5;1;3;3;12;818.07;72.67;54.17;1.15;64.49;28.74;44.49;5.97;13.63
757.5;3;3;3;7;576.75;72.67;54.17;1.15;82.39;28.74;44.49;5.97;13.63
802.5;1;2;3;3;425.66;76.33;56.18;1.2;70.94;19.57;26.15;6.22;11.13
735;5;3;3;7;471.37;75.57;54.31;1.22;67.34;23.26;33.12;5.87;9.54
780;3;3;3;2;151.04;73.54;55.75;0.99;75.52;39.37;50.52;7.05;14.3
735;1;3;3;2;92.77;69.32;51.74;1.22;46.39;18.71;40.15;5.72;11
735;1;3;3;2;94.22;75.41;53.27;1.22;47.11;19.13;40.46;5.48;13.1
847.5;1;3;3;5;489.08;73.3;60.81;1.28;97.82;31.43;29.81;8.55;10.88
952.5;6;2;3;1;67.61;69.47;70.11;1.41;67.61;18.45;27.29;7.22;8.7
690;1;3;3;1;115.15;83.9;69;1.36;115.15;53.07;46.09;6.54;18
735;1;3;3;3;188.04;66.59;54.63;1.34;62.68;27.2;39.76;7.57;16.33
727.5;1;3;3;1;83.32;78.91;61.48;1.34;83.32;20.18;24.22;3.82;9.7
727.5;1;3;3;2;240.87;78.25;70.9;1.36;120.44;41.59;34.08;9.16;18.05
832.5;1;3;3;1;28.26;57.35;49.82;1.4;28.26;4.43;15.68;7.25;13
780;5;2;3;5;382.18;70.15;61.27;1.32;76.44;25.25;32.12;7.26;16.08
735;1;2;3;8;629.34;69.49;60.76;1.34;78.67;26.06;31.91;9.76;13.9
802.5;7;3;3;1;46.13;59.24;49.4;1.42;46.13;10.68;23.15;10.71;11.6
